3,6
5,6
5,8
5,61
5,65
5,68
7,2
7,6
7,8
7,61
7,65
8,5
8,6
8,8
8,61
8,64
8,65
8,68
10,2
10,5
10,6
10,8
10,61
10,64
10,65
11,5
11,6
11,8
11,61
11,64
11,65
11,68
13,2
13,5
13,6
13,8
13,61
13,64
13,65
14,5
14,6
14,8
14,61
14,64
14,65
14,68
16,2
16,5
16,6
16,8
16,61
16,64
16,65
17,5
17,6
17,8
17,61
17,64
17,65
17,68
19,2
19,5
19,6
19,8
19,61
19,64
19,65
20,5
20,6
20,8
20,61
20,64
20,65
20,68
22,2
22,5
22,6
22,8
22,61
22,64
22,65
23,5
23,6
23,8
23,61
23,64
23,65
23,68
25,2
25,5
25,6
25,8
25,61
25,64
25,65
26,5
26,6
26,8
26,61
26,64
26,65
26,68
28,2
28,5
28,6
28,8
28,61
28,64
28,65
